Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
systemd-network,192,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
polkitd,999,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
admindt,1000,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
splunk,1001,/bin/bash,-1,-1,,YES,Partial,Regular,"OK"
nfsnobody,65534,/sbin/nologin,-1,-1,,YES,Partial,Regular,"OK"
nagios,998,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
nrpe,997,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
confluence,1003,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
sisips,1004,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
dcscaf,1006,/sbin/nologin,1,60,,YES,Partial,Regular,"OK"
splunkfwd,1009,/bin/bash,1,60,,YES,Partial,Regular,"OK"
systemd-coredump,996,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
systemd-resolve,193,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
chrony,995,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
unbound,994,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
sssd,993,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
