Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/sbin/nologin,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
systemd-coredump,999,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
systemd-resolve,193,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
polkitd,998,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
unbound,997,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
sssd,996,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
chrony,994,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
splunk,990,/bin/bash,0,99999,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
nrpe,989,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
sisips,1000,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
dcscaf,1003,/sbin/nologin,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
splunkfwd,1004,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
monuser,1006,/bin/bash,1,90,,YES,Partial,Regular,"OK"
