server,os,os_version,kernel,arch,uptime,patchlevel
artemis,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 21m
blcflin03,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 18m
bllina350rpm01,Ubuntu,18.04,04,4.15.0-206-generic,x86_64,49d 0h 42m
bllinalm01,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 1h 56m
bllinalm02,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 1h 57m
bllinalm04,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 1h 57m
bllinalm05,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 1h 57m
bllinalmqa01,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 5m
bllinalmqa02,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 4m
bllinalmqa03,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 5m
bllinalmqa04,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,6d 2h 32m
bllinalmqa05,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,5d 20h 10m
bllinalmqa06,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,7d 21h 30m
bllinapp37,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 21m
bllinapp38,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 28m
bllinapp40,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 28m
bllinapp42,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 28m
bllinapp46,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 28m
bllinapp47,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 21m
bllinapp48,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 28m
bllinapp50,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 28m
bllinapp55,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 27m
bllinapp56,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 28m
bllinapp57,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 28m
bllinapp58,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 21m
bllincdr03,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 21m
bllinelk01,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 17m
bllinelk02,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 21m
bllinelk03,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 0m
bllinelk04,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 1h 50m
bllinelk05,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 1h 38m
bllinsvn02,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 1h 31m
bllinsvnqa01,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 21m
bllintestboot,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 21m
bllintestboot3,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 21m
blnis01,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 28m
buzet,CentOS,7.9,9,3.10.0-1160.118.1.el7.x86_64,x86_64,43d 2h 4m
cfrc10353ap007,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,9d 2h 21m
cfrc10353ap009,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 27m
cfrc10353ap010,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 1h 59m
cfrc10353ap011,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,49d 5h 1m
cfrc10353ap012,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,4d 17h 45m
cfrc10353ap013,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,4d 17h 44m
cfrc10353ap014,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,4d 17h 44m
cfrc10353ap016,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,4d 17h 44m
cfrc10353ap017,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,4d 17h 44m
cfrc10353ap018,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,2d 2h 27m
cfrc10353ap022,RedHat,8.10,10,4.18.0-553.47.1.el8_10.x86_64,x86_64,147d 0h 4m
cfrc10353aq012,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 21h 39m
cfrc10353aq013,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 21h 38m
cfrc10353aq014,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,4d 21h 46m
cfrc10353aq016,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 21h 38m
cfrc10353aq017,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 21h 38m
cfrc10353dp003,RedHat,8.10,10,4.18.0-553.72.1.el8_10.x86_64,x86_64,4d 17h 46m
cfrc10353dq003,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 21h 42m
