Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
systemd-network,192,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
polkitd,999,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
chrony,998,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
geoclue,997,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
saslauth,996,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
qpidd,995,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
qdrouterd,994,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
mongodb,184,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
foreman-proxy,993,/bin/false,-1,-1,,NO,Partial,Service,"OK"
foreman,992,/bin/false,-1,-1,,NO,Partial,Service,"OK"
redis,991,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
puppet,990,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
nfsnobody,65534,/sbin/nologin,-1,-1,,NO,Partial,Regular,"OK"
nrpe,989,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
splunkfwd,1000,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
monuser,1003,/bin/bash,1,90,,YES,Partial,Regular,"OK"
