server,os,os_version,kernel,arch,uptime,patchlevel
artemis,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 7h 31m
blcflin03,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 7h 25m
bllina350rpm01,Ubuntu,18.04,04,4.15.0-206-generic,x86_64,36d 5h 46m
bllinalm01,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,22d 4h 54m
bllinalm02,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,22d 4h 54m
bllinalm04,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,22d 4h 55m
bllinalm05,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,22d 4h 56m
bllinalmqa01,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,27d 0h 18m
bllinalmqa02,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,27d 0h 18m
bllinalmqa03,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,27d 0h 18m
bllinalmqa04,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,27d 0h 18m
bllinalmqa05,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,27d 0h 19m
bllinapp37,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 7h 31m
bllinapp38,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,35d 7h 52m
bllinapp40,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,23d 1h 42m
bllinapp42,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,87d 5h 30m
bllinapp45,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,87d 5h 31m
bllinapp46,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,87d 5h 32m
bllinapp48,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,36d 10h 4m
bllinapp50,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,36d 7h 24m
bllinapp55,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,23d 1h 18m
bllinapp56,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,36d 10h 4m
bllinapp57,RedHat,8.10,10,4.18.0-553.58.1.el8_10.x86_64,x86_64,35d 7h 56m
bllinapp58,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 7h 32m
bllincdr03,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 7h 31m
bllinelk01,RedHat,8.10,10,4.18.0-553.66.1.el8_10.x86_64,x86_64,24d 7h 29m
bllinelk02,RedHat,8.10,10,4.18.0-553.54.1.el8_10.x86_64,x86_64,87d 5h 25m
