Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/sbin/nologin,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
systemd-coredump,999,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
systemd-resolve,193,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
polkitd,998,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
clevis,997,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
gluster,996,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
unbound,995,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
libstoragemgmt,994,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
saslauth,993,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
sssd,992,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
pcp,991,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
cockpit-ws,990,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
cockpit-wsinstance,989,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
setroubleshoot,988,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
chrony,987,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
grafana,986,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
splunk,899,/bin/bash,1,90,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
nrpe,898,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
dnsmasq,981,/sbin/nologin,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
sisips,1000,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
dcscaf,1003,/sbin/nologin,1,90,,YES,Partial,Regular,"OK"
splunkfwd,1004,/bin/bash,1,90,,YES,Partial,Regular,"OK"
