Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/sbin/nologin,0,99999,,YES,OK,Regular,"MinPwdAge_NOT_SET"
systemd-coredump,999,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
systemd-resolve,193,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
polkitd,998,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
unbound,997,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
sssd,996,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
chrony,995,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
pesign,994,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
splunk,899,/bin/bash,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
coverity,53177,/bin/bash,0,99999,,YES,OK,Regular,"MinPwdAge_NOT_SET"
nrpe,897,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
sisips,53178,/bin/bash,0,99999,,YES,OK,Regular,"MinPwdAge_NOT_SET"
dcscaf,53179,/sbin/nologin,1,60,,YES,OK,Regular,"OK"
