Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/sbin/nologin,0,99999,,NO,Partial,Regular,"MinPwdAge_NOT_SET"
systemd-coredump,999,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
systemd-resolve,193,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
polkitd,998,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
unbound,997,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
sssd,996,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
chrony,995,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
splunk,990,/bin/bash,0,99999,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
nrpe,988,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
sisips,1000,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
dcscaf,1003,/sbin/nologin,0,99999,,NO,Partial,Regular,"MinPwdAge_NOT_SET"
splunkfwd,1004,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
monuser,1006,/bin/bash,1,90,,YES,Partial,Regular,"OK"
