Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/sbin/nologin,0,99999,,NO,OK,Regular,"MinPwdAge_NOT_SET"
systemd-coredump,999,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
systemd-resolve,193,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
polkitd,998,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
unbound,997,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
sssd,996,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
chrony,995,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
pesign,994,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
splunk,899,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
svn,114,/sbin/nologin,1,90,,NO,OK,Service,"OK"
saslauth,897,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
nrpe,896,/sbin/nologin,-1,-1,,NO,OK,Service,"OK"
sisips,1000,/bin/bash,0,99999,,YES,OK,Regular,"MinPwdAge_NOT_SET"
dcscaf,1003,/sbin/nologin,1,60,,NO,OK,Regular,"OK"
splunkfwd,1004,/bin/bash,1,60,,YES,OK,Regular,"OK"
monuser,1006,/bin/bash,1,90,,YES,OK,Regular,"OK"
