Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
systemd-network,192,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
polkitd,999,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
libstoragemgmt,998,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
abrt,173,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
gluster,997,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
cockpit-ws,996,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
pcp,995,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
nfsnobody,65534,/sbin/nologin,-1,-1,,NO,Partial,Regular,"OK"
chrony,994,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
nagios,992,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
centreon-broker,991,/bin/bash,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
mysql,990,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
centreon-engine,989,/bin/bash,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
memcached,987,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
slurm,1694,/bin/bash,-1,-1,,YES,Partial,Regular,"OK"
nrpe,985,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
centreon,986,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
blcm01bkp,120,/bin/bash,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
admin-mguy,65028,/bin/bash,-1,-1,,YES,Partial,Regular,"OK"
clamupdate,984,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
flow-tools,983,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
centreon-agent,981,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
centreon-connector-as400,980,/bin/bash,-1,-1,,YES,Partial,Service,"ServiceAccount_InteractiveShell"
unbound,979,/sbin/nologin,-1,-1,,NO,Partial,Service,"OK"
admin-pwolfgan,65029,/bin/bash,-1,-1,,YES,Partial,Regular,"OK"
sisips,1885,/bin/bash,0,99999,,YES,Partial,Regular,"MinPwdAge_NOT_SET"
dcscaf,1886,/sbin/nologin,1,60,,NO,Partial,Regular,"OK"
