Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/sbin/nologin,0,99999,,YES,OK,Regular,"MinPwdAge_NOT_SET"
systemd-coredump,999,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
systemd-resolve,193,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
polkitd,998,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
unbound,997,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
setroubleshoot,996,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
sssd,995,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
cockpit-ws,994,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
cockpit-wsinstance,993,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
abrt,173,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
chrony,992,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
rngd,991,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
nagios,990,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
nrpe,989,/sbin/nologin,-1,-1,,YES,OK,Service,"ServiceAccount_InteractiveShell"
splunk,1000,/sbin/nologin,0,99999,,YES,OK,Regular,"MinPwdAge_NOT_SET"
xgsa_pdmuser,792897,/bin/false,1,60,,YES,OK,Regular,"OK"
sisips,1001,/sbin/nologin,0,99999,,YES,OK,Regular,"MinPwdAge_NOT_SET"
dcscaf,1002,/sbin/nologin,1,60,,YES,OK,Regular,"OK"
fr-726-ansible,1868,/bin/bash,-1,99999,,YES,OK,Regular,"OK"
