Username,UID,Shell,MinPasswordAge,MaxPasswordAge,InactiveDays,InteractiveShell,PasswordComplexity,UserType,ComplianceSummary
nobody,65534,/sbin/nologin,7,365,,NO,OK,Regular,"OK"
systemd-coredump,999,/sbin/nologin,7,365,,NO,OK,Service,"OK"
systemd-resolve,193,/sbin/nologin,7,365,,NO,OK,Service,"OK"
polkitd,998,/sbin/nologin,7,365,,NO,OK,Service,"OK"
unbound,997,/sbin/nologin,7,365,,NO,OK,Service,"OK"
sssd,996,/sbin/nologin,7,365,,NO,OK,Service,"OK"
chrony,995,/sbin/nologin,7,365,,NO,OK,Service,"OK"
e40003851,1001,/bin/bash,1,60,,YES,OK,Regular,"OK"
admin-ecadic,65029,/bin/bash,1,-1,,YES,OK,Regular,"OK"
admin-dmechain,65030,/bin/bash,1,-1,,YES,OK,Regular,"OK"
fr-726-ansible,1968,/bin/bash,1,-1,,YES,OK,Regular,"OK"
charless,1969,/bin/bash,7,365,,YES,OK,Regular,"OK"
jfleeks,1970,/bin/bash,0,90,,YES,OK,Regular,"MinPwdAge_NOT_SET"
splunk,1971,/bin/bash,7,365,,YES,OK,Regular,"OK"
splunkfwd,1972,/bin/bash,7,365,,YES,OK,Regular,"OK"
