user,type,source,group
sisips,local-user,passwd,none
dcscaf,local-user,passwd,none
dcscaf,local-user,group:sisips,sisips
root,local-user,group:avdefs,avdefs
sisips,local-user,group:dcscaf,dcscaf
ftrincal,local-user,group:A350XWB,A350XWB
odallaro,local-user,group:A350XWB,A350XWB
laudoune,local-user,group:A350XWB,A350XWB
rracaud,local-user,group:A400M,A400M
ehatchon,local-user,group:A400M,A400M
dgourion,local-user,group:A400M,A400M
jpouzet,local-user,group:A400M,A400M
pdubois,local-user,group:A400M,A400M
bbidenne,local-user,group:A400M,A400M
nammour,local-user,group:A400M,A400M
mroux,local-user,group:A400M,A400M
ssevestr,local-user,group:A400M,A400M
dbonnefi,local-user,group:A400M,A400M
lluu,local-user,group:A400M,A400M
cimbert,local-user,group:A400M,A400M
acradm,local-user,group:ACR_SVN,ACR_SVN
nmoutrou,local-user,group:ACR_SVN,ACR_SVN
mvenier,local-user,group:ACR_SVN,ACR_SVN
odallaro,local-user,group:ACR_SVN,ACR_SVN
ravsec,local-user,group:ACR_SVN,ACR_SVN
nane,local-user,group:AMEX_SVN,AMEX_SVN
odallaro,local-user,group:AMEX_SVN,AMEX_SVN
lvidal,local-user,group:AMEX_SVN,AMEX_SVN
dnottin,local-user,group:AMEX_SVN,AMEX_SVN
olafourc,local-user,group:AQ,AQ
pcazalbo,local-user,group:ATEC,ATEC
scolombi,local-user,group:ATEC,ATEC
tgiraldi,local-user,group:ATEC,ATEC
ajeanjea,local-user,group:ATEC,ATEC
E40050791,local-user,group:ATSU,ATSU
jfernand,local-user,group:ATSU,ATSU
bfavreau,local-user,group:ATSU,ATSU
fbousson,local-user,group:ATSU,ATSU
E40063586,local-user,group:ATSU,ATSU
pmonnie,local-user,group:ATSU,ATSU
lnavarro,local-user,group:ATSU,ATSU
dvivier,local-user,group:ATSU,ATSU
egomez,local-user,group:ATSU,ATSU
prouquie,local-user,group:ATSU,ATSU
mfremau2,local-user,group:ATSU,ATSU
cchadebe,local-user,group:ATSU,ATSU
lvidal,local-user,group:ATSU,ATSU
ajeanjea,local-user,group:ATSU,ATSU
fcrestey,local-user,group:ATSU,ATSU
tteres,local-user,group:ATSU,ATSU
abrossar,local-user,group:ATSU,ATSU
lkaman,local-user,group:ATSU,ATSU
fbousson,local-user,group:ATSUMGT,ATSUMGT
dvivier,local-user,group:ATSUMGT,ATSUMGT
egomez,local-user,group:ATSUMGT,ATSUMGT
ajeanjea,local-user,group:ATSUMGT,ATSUMGT
abrossar,local-user,group:ATSUMGT,ATSUMGT
cchadebe,local-user,group:ATSUMGT,ATSUMGT
olafourc,local-user,group:AW101,AW101
dmechain,local-user,group:AW101,AW101
sgiraud,local-user,group:AW101,AW101
taguet,local-user,group:AW101,AW101
cleblanc,local-user,group:AW101,AW101
jarnoux,local-user,group:AW101,AW101
mchanfre,local-user,group:AW101,AW101
plorho,local-user,group:AW101,AW101
bbidenne,local-user,group:AW101,AW101
xerrando,local-user,group:AW101,AW101
droques,local-user,group:AW101,AW101
rthieuli,local-user,group:AW101,AW101
fguiller,local-user,group:AW101,AW101
lmaes,local-user,group:AW101,AW101
pcuiller,local-user,group:AW101,AW101
fmartin,local-user,group:AW101,AW101
sleliev1,local-user,group:AW101,AW101
otrehard,local-user,group:AW101,AW101
fjouhaud,local-user,group:AW101,AW101
adeniau,local-user,group:AW101,AW101
ebitar,local-user,group:AW101,AW101
pcouderc,local-user,group:AW101,AW101
sdagosti,local-user,group:AW101,AW101
fgirbal,local-user,group:AW101,AW101
aserrat,local-user,group:AW101,AW101
mroux,local-user,group:AW101,AW101
mbourgeo,local-user,group:AW101,AW101
fbrignol,local-user,group:AW101,AW101
ecorbi,local-user,group:AW101,AW101
gthullie,local-user,group:AW101,AW101
fkoppe,local-user,group:AW101,AW101
jneufabe,local-user,group:AW101,AW101
olafourc,local-user,group:AW101_SVN,AW101_SVN
odallaro,local-user,group:AW101_SVN,AW101_SVN
pcuiller,local-user,group:AW101_SVN,AW101_SVN
fmartin,local-user,group:AW101_SVN,AW101_SVN
otrehard,local-user,group:AW101_SVN,AW101_SVN
olafourc,local-user,group:AW149_SVN,AW149_SVN
odallaro,local-user,group:AW149_SVN,AW149_SVN
fdelbary,local-user,group:CINS,CINS
dmechain,local-user,group:CINS,CINS
msabell1,local-user,group:CINS,CINS
fmoulin,local-user,group:CINS,CINS
vmassias,local-user,group:CINS,CINS
sdagosti,local-user,group:CINS,CINS
ajeanjea,local-user,group:CINS,CINS
lparfait,local-user,group:CINS,CINS
fdeweulf,local-user,group:CINS,CINS
ftrincal,local-user,group:CINS,CINS
dbonnefi,local-user,group:CINS,CINS
dnottin,local-user,group:CINS,CINS
slapeyre,local-user,group:CINS,CINS
ccibert,local-user,group:CMMI_SITE_DEV,CMMI_SITE_DEV
jcazeils,local-user,group:CMMI_SITE_DEV,CMMI_SITE_DEV
www-data,local-user,group:CMMI_SITE_DEV,CMMI_SITE_DEV
odallaro,local-user,group:CMMI_SITE_DEV,CMMI_SITE_DEV
dngo,local-user,group:COSS,COSS
lsoyer,local-user,group:COSS,COSS
fwandels,local-user,group:COSS,COSS
oservian,local-user,group:DCU_SVN,DCU_SVN
odallaro,local-user,group:DCU_SVN,DCU_SVN
dvivier,local-user,group:DLK_CVS,DLK_CVS
llamonta,local-user,group:DLK_CVS,DLK_CVS
mdelort,local-user,group:DLK_CVS,DLK_CVS
egomez,local-user,group:DLK_CVS,DLK_CVS
mcatteau,local-user,group:DLK_CVS,DLK_CVS
mvenier,local-user,group:DLK_CVS,DLK_CVS
gdecroue,local-user,group:DLK_CVS,DLK_CVS
vhubert,local-user,group:DLP,DLP
mvenier,local-user,group:DLP,DLP
jpouzet,local-user,group:DLP,DLP
vhubert,local-user,group:DLP_L16,DLP_L16
jpouzet,local-user,group:DLP_L16,DLP_L16
ehatchon,local-user,group:DTSC,DTSC
dngo,local-user,group:DTS_CONTROLLER,DTS_CONTROLLER
jpouzet,local-user,group:DTS_CONTROLLER,DTS_CONTROLLER
pcazalbo,local-user,group:ECLAIR,ECLAIR
